SEA,CMH
CMH,SEA
SFO,SAN
SAN,SFO
DCA,SEA
SEA,DCA
ADQ,ANC
ANC,BET
BET,ANC
ANC,ADQ
SCC,BRW
ANC,SCC
BRW,ANC
EWR,PDX
PDX,EWR
BRW,FAI
SIT,SEA
KTN,SEA
JNU,KTN
CDV,ANC
JNU,YAK
YAK,CDV
SIT,KTN
ANC,JNU
JNU,SIT
SEA,SIT
PSG,WRG
JNU,PSG
WRG,KTN
WRG,PSG
JNU,ANC
KTN,WRG
PSG,JNU
ANC,CDV
CDV,YAK
YAK,JNU
KTN,SIT
SIT,JNU
KTN,JNU
JNU,GST
GST,JNU
OAK,SEA
PDX,ANC
ANC,FAI
LAX,ANC
ANC,PDX
ANC,ORD
ORD,ANC
ANC,LAX
DAL,SEA
SJC,KOA
ANC,OME
OME,ANC
ANC,OTZ
OTZ,OME
OTZ,ANC
SEA,DAL
AKN,ANC
ANC,DLG
ANC,AKN
DLG,ANC
KOA,SAN
SEA,PIT
PIT,SEA
EWR,LAX
SFO,BWI
SAN,KOA
SFO,EWR
ONT,SEA
SAN,SMF
SAN,PDX
SMF,SAN
EWR,SFO
PDX,BWI
PDX,SAN
BWI,SAN
SAN,BWI
BWI,PDX
IAH,SEA
PDX,PHL
SAN,EWR
SEA,ONT
PHL,PDX
SEA,SBA
SBA,SEA
SEA,OMA
OMA,SEA
PDX,BUR
SEA,SAT
LAX,EWR
